Pump_ID,Gram_Panchayat,Cluster,Pump_Type,Recency_Raw,Tariff_Freq_6M,OM_Reserve_Raw,Energy_Discharge_Ratio_Raw,Daily_Runtime_Hrs,Public_Utility_Priority,CGWB_Aquifer_Drop_m,Ground_Truth_Breakdown
PUMP-JJM-0001,Gram Panchayat #101,Cluster A - North Plains,Handpump Motor Assist 3HP,82,0,2139,108.61 L/kWh,3.8,0,1.21,1
PUMP-JJM-0002,Gram Panchayat #102,Cluster B - Southern Hills,Handpump Motor Assist 3HP,78 days,0,"₹ 37,281",83.80,4.4,0,0.71,0
PUMP-JJM-0003,Gram Panchayat #103,Cluster A - North Plains,Dual Solar-Grid 7.5HP,104 days,1,"₹ 28,196",99.07 L/kWh,11.6,0,0.09,0
PUMP-JJM-0004,Gram Panchayat #104,Cluster C - Eastern Delta,Dual Solar-Grid 7.5HP,94 days,3,"₹ 35,642",127.16,3.7,1,0.07,0
PUMP-JJM-0005,Gram Panchayat #105,Cluster C - Eastern Delta,Grid Electric 10HP,30 days,6,"₹ 19,465",178.52 L/kWh,10.7,0,0.54,0
PUMP-JJM-0006,Gram Panchayat #106,Cluster B - Southern Hills,Handpump Motor Assist 3HP,88 days,5,"₹ 5,179",103.62 L/kWh,8.3,0,1.18,0
PUMP-JJM-0007,Gram Panchayat #107,Cluster C - Eastern Delta,Solar Submersible 5HP,72 days,1,"₹ 21,752",143.35 L/kWh,4.7,0,0.34,0
PUMP-JJM-0008,Gram Panchayat #108,Cluster B - Southern Hills,Dual Solar-Grid 7.5HP,41 days,1,"₹ 43,454",59.47 L/kWh,7.2,1,0.93,0
PUMP-JJM-0009,Gram Panchayat #109,Cluster A - North Plains,Solar Submersible 5HP,96 days,4,"₹ 28,577",138.31 L/kWh,4.6,1,0.64,0
PUMP-JJM-0010,Gram Panchayat #110,Cluster C - Eastern Delta,Solar Submersible 5HP,88 days,3,39586,88.84 L/kWh,3.1,0,5.0,0
